name,data
python3-module-netort,"[""""]"
python3-module-networkmanager,"[""""]"
python3-module-networkx,"[""""]"
python3-module-neutron-lib,"[""""]"
python3-module-neutronclient,"["""","" python-module-quantumclient added""]"
python3-module-nibabel,"[""""]"
python3-module-nine,"[""""]"
python3-module-ninja_syntax,"["""","" \tlibticables-devel"",""    libticables""]"
python3-module-progress,"["""","" python3(progress)""]"
python3-module-progressbar2,"[""""]"
python3-module-prometheus_client,"[""""]"
python3-module-prompt_toolkit,"[""""]"
python3-module-proteus,"["""","" python2.7(proteus)""]"
heroes-data,"[""""]"
perl-Parse-Template,[]
perl-Parse-Yapp,[]
perl-ParseLex,[]
perl-Passwd-Linux,[]
perl-PatchReader,[]
perl-Path-Class,[]
perl-Path-FindDev,[]
perl-Path-IsDev,[]
perl-Path-Iter,[]
perl-Path-Iterator-Rule,[]
perl-Path-Tiny,[]
perl-Pegex,[]
perl-Perl-Critic,[]
perl-Perl-Critic-Pulp,[]
perl-Perl-Destruct-Level,[]
perl-Perl-MinimumVersion,[]
perl-Perl-MinimumVersion-Fast,[]
perl-Perl-OSType,[]
perl-Perl-PrereqScanner,[]
perl-Perl-PrereqScanner-NotQuiteLite,[]
perl-Perl-Tags,[]
perl-Perl-Tidy,"[""  perltidy""]"
freemind,[]
freeradius,"[""  freeradius-dictionary""]"
freespeech,[]
NetworkManager-l2tp,"[""  NetworkManager-l2tp-gnome"",""  NetworkManager-l2tp-gtk""]"
TheButterflyEffect,[]
admx-basealt,[]
alacritty,[]
alt-csp-cryptopro,"[""  alt-csp-cryptopro-kde"",""  alt-csp-cryptopro-mate""]"
alterator-grub,[]
alterator-l10n,[]
appinstall,[]
appinstall-allowlist-kworkstation,[]
appstream-data,[]
avidemux-qt,"[""  avidemux"",""  avidemux-qt-qui"",""  avidemux2"",""  avidemux3""]"
bacula11,"[""  bacula11-dir"",""  bacula11-director"",""  bacula11-fd"",""  baculum11""]"
bind,"[""  libdns"",""  libisc"",""  libisc-export-devel"",""  libisccc"",""  libisccfg"","" bind-chroot(/var/lib/bind)"","" bind-chroot, bind-debug, bind-slave, caching-nameserver"","" libdns8, libdns9, libdns10, libdns11, libdns16"","" libisc4, libisc7, libisccc0, libisccfg0""]"
bind-dyndb-ldap,[]
blueberry,"[""  cinnamon-applet-blueberry""]"
bluefish,[]
bluez-alsa,"[""  alsa-plugins-bluealsa"",""  bluealsa""]"
branding-xalt-kworkstation,"[""   altlinux-release-branding-xalt-kworkstation  branding-alt-branding-xalt-kworkstation-release"",""  alt-license-theme"",""  alt-notes-branding-xalt-kworkstation"",""  altlinux-release"",""  branding-alt-branding-xalt-kworkstation-browser-qt  branding-altlinux-branding-xalt-kworkstation-browser-qt"",""  branding-alt-branding-xalt-kworkstation-graphics design-graphics-branding-xalt-kworkstation design-graphics-kdesktop"",""  design-graphics"",""  fedora-release"",""  gnome-menus"",""  gnome-session-splash"",""  gnome-theme-alt-branding-xalt-kworkstation"",""  indexhtml indexhtml-branding-xalt-kworkstation"",""  indexhtml-Desktop"",""  metacity-theme-alt-branding-xalt-kworkstation"",""  redhat-release"",""  system-release"","" alt-license-branding-xalt-kworkstation alt-notes-branding-xalt-kworkstation"","" alterator-icons design-alterator design-alterator-branding-xalt-kworkstation"","" altlinux-release fedora-release redhat-release  branding-alt-branding-xalt-kworkstation-release"","" design-alterator-browser-branding-xalt-kworkstation  branding-alt-branding-xalt-kworkstation-browser-qt branding-altlinux-branding-xalt-kworkstation-browser-qt"","" design-alterator-server design-alterator-desktop design-altertor-browser-desktop  design-altertor-browser-server"","" design-bootloader-system-branding-xalt-kworkstation design-bootloader-livecd-branding-xalt-kworkstation design-bootloader-livecd-branding-xalt-kworkstation design-bootloader-branding-xalt-kworkstation branding-alt-branding-xalt-kworkstation-bootloader"","" design-graphics-branding-xalt-kworkstation  branding-alt-branding-xalt-kworkstation-graphics design-graphics-kdesktop"","" indexhtml-desktop indexhtml-Desktop"","" metacity-theme"","" plymouth-theme-branding-xalt-kworkstation plymouth(system-theme)""]"
celluloid,"[""  gnome-mpv""]"
chromaprint,[]
chromium,"[""        chromium-browser"",""       chromium-browser"",""       chromium-stable"",""       webclient"",""      chromium-desktop-gnome"",""      chromium-desktop-kde"",""      chromium-gnome"",""      chromium-kde"",""      chromium-password""]"
cinnamon,"[""  cinnamon-minimal"","" desktop-notification-daemon"","" python3(Spices)"","" python3(cme)""]"
cinnamon-control-center,[]
cinnamon-desktop,[]
cinnamon-menus,"[""  cinnamon-menus-common""]"
cinnamon-meta,"[""  cinnamon-full""]"
cinnamon-screensaver,"["" cinnamon-screensaver-module"","" screen-saver-engine"","" screen-saver-frontend""]"
cinnamon-session,[]
cinnamon-settings-daemon,[]
cinnamon-translations,[]
clamav-db-daily,[]
clickhouse,"[""  libclickhouse""]"
console-bridge,[]
dart,[]
dbus,"[""  dbus-userhelpers"","" dbus-userhelpers""]"
desktop-file-utils,[]
docs-alt-kworkstation,"[""  docs-kworkstation""]"
docs-simply-linux,[]
drbd-reactor,[]
drbd9,[]
exiv2,[]
expat,"[""  expat-devel"","" expat-devel""]"
python3-module-qtconsole,"["""","" python3(qtconsole)""]"
